unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,"Introduction, Environment Setup and Configuration",1,Introduction,,,http://kfs-training.appspot.com/courses/Day1/assets/slides/Introduction.html,royXOFQVaEA,<ul><li>Quick Overview</li></ul>
1,"Introduction, Environment Setup and Configuration",2,Install Java,yes,Lesson 1.2 Activity,,I8FCFh_XBkM,<ul><li>Download JDK</li><li>Install JDK</li><li>Setup Environment Variables</lI></ul>
1,"Introduction, Environment Setup and Configuration",3,Install Maven,yes,Lesson 1.3 Activity,,,<ul><li>Download Maven</li><li>Install Maven</li><li>Setup environment variables</li></ul>
1,"Introduction, Environment Setup and Configuration",4,Install Eclipse,yes,Lesson 1.4 Activity,,,<ul><li>Download Eclipse</li><li>Install Eclipse</li><li>Configure JRE</li><li>Setup Maven for Eclipse</lI><li>Setup Subclipse</lI></ul>
1,"Introduction, Environment Setup and Configuration",5,Install MySQL,yes,Lesson 1.5 Activity,,,<ul><li>Download MySQL</li><li>Install MySQL</li><li>Setup PATH</lI><li>Configure my.cnf</lI><li>Configure JRE</li></ul>
1,"Introduction, Environment Setup and Configuration",6,Install Rice,yes,Lesson 1.6 Activity,,,<ul><li>Checkout Rice into the workspace</li><li>Understand the layout of the rice project</li><li>Install the Rice database</li><li>Start rice</li><li>Login</li></ul>
1,"Introduction, Environment Setup and Configuration",7,Introducing KRAD,yes,Lesson 1.7 Activity,,,<ul><li>General background on what is in the stack.</li><li>Differences between KRAD and KNS</li><li>Demystification of KRAD</li></ul>
1,"Introduction, Environment Setup and Configuration",8,Introducing to Data Objects,yes,Lesson 1.8 Activity,,,<ul><li>How to create a data object.</li><li>DataObjects and the DD</li><li>Relationship between DataObjects and Business Objects</li></ul>
1,"Introduction, Environment Setup and Configuration",9,Data Objects and the DataDictionary,yes,Lesson 1.9 Activity,,,<ul><li>Understand a DataObjectEntry</li><li>Create a Custom DataObjectEntry</li><li>Understand differences in the KNS</li></ul>
2,Data Objects and Maintenance Documents,1,Form Views,yes,Lesson 2.1 Activity,,,<ul><li>Learn about KRAD and Spring MVC</li><li>Learn about KRAD Views</li><li>Create a Landing Page</li></ul>
2,Data Objects and Maintenance Documents,2,Object/Relational Mapping and OJB,yes,Lesson 2.2 Activity,,,<ul><li>Learn about adding OJB Configuration to a Module</li><li>Exposure to OJB XML and Repository Mappings</li><li>Create a class-descriptor</li></ul>
2,Data Objects and Maintenance Documents,3,The Kuali Data Dictionary,yes,Lesson 2.3 Activity,,,<ul><li>More background on the DataDictionary</li><li>Architectural Overview of the DataDictionary</lI><li>The UIF</li><li>Patterns and conventions within the Data Dictionary</li></ul>
2,Data Objects and Maintenance Documents,4,Lookup Views,yes,Lesson 2.4 Activity,,,<ul><li>Custom Views for Lookups</li><lI>Create an Lookup for Book</li></ul>
2,Data Objects and Maintenance Documents,5,Inquiry Views,yes,Lesson 2.5 Activity,,,<ul><li>Custom Views for Inquiries</li><lI>Create an Inquiry for Book</li></ul>
2,Data Objects and Maintenance Documents,6,Introduction to Maintenance Documents,yes,Lesson 2.6 Activity,,,<ul><li>Setup a Maintenance Document</lI><li>Differences between KNS and KRAD</li><li>Create a Maintenance Document View</li></ul>
3,Maintenance Documents and Validations,1,Custom Maintainable,yes,Lesson 3.1 Activity,,,<ul><li>Abstract behavior from the Controller into a suitable location</li><li>Change the behavior of a Maintenance Document in says that can't be done through the DataDictionary.</li><li>Understand use cases of the Maintainable and why it exists.</li><li>Learn how defining a custom Maintainable for your maintenance documents can provide you with various hook points to implement more complex features.</li><li>Implement a Maintainable for the Book maintenance document.</li></ul>
3,Maintenance Documents and Validations,2,Validations,yes,Lesson 3.2 Activity,,,<ul><li>Learn about the different validations are available.</li><li>Create a custom validation.</li><li>Work with validations dependent on one or more fields.</li><li>Work with Spring expression language and validations.</li></ul>
3,Maintenance Documents and Validations,3,Progressive Disclosures,yes,Lesson 3.3 Activity,,,<ul><li></li></ul>
3,Maintenance Documents and Validations,4,Maintenance Collections,yes,Lesson 3.4 Activity,,,<ul><li></li></ul>
4,Transactional Documents and Business Rules,1,Introduction to Transactional Documents,yes,Lesson 4.1 Activity,,,<ul><li></li></ul>
4,Transactional Documents and Business Rules,2,Complex Trasactional Documents,yes,Lesson 4.2 Activity,,,<ul><li></li></ul>
4,Transactional Documents and Business Rules,3,Business Rules,yes,Lesson 4.3 Activity,,,<ul><li></li></ul>
4,Transactional Documents and Business Rules,4,AJAX Calls and Rest Services,yes,Lesson 4.4 Activity,,,<ul><li>Learn about creating ReST services.</li><li>Exposing rest services on the service bus.</li><li>Access the service via javascript.</li></ul>
5,Custom Components,1,Creating a Custom Component,yes,Lesson 5.1 Activity,,,<ul><li>About Components</li><li>The Component Stack</li><li>Some background on custom components</li></ul>

